timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], enforced.power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.max.sm [MHz], clocks_event_reasons.active
2026/09/22 10:11:16.230, 0, P0, 0, 0, 0, 23034, 56, 22.82, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:16.336, 0, P0, 0, 0, 0, 23034, 56, 22.82, 72.00, 435, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:16.438, 0, P0, 0, 0, 0, 23034, 56, 22.82, 72.00, 435, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:16.540, 0, P0, 0, 0, 0, 23034, 56, 22.82, 72.00, 435, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:16.642, 0, P0, 0, 0, 0, 23034, 56, 22.82, 72.00, 435, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:16.744, 0, P0, 0, 0, 0, 23034, 56, 22.82, 72.00, 435, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:16.846, 0, P0, 0, 0, 0, 23034, 56, 22.82, 72.00, 435, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:16.947, 0, P0, 0, 0, 0, 23034, 56, 22.82, 72.00, 435, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:17.050, 0, P0, 0, 0, 0, 23034, 56, 22.82, 72.00, 435, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:17.152, 0, P0, 0, 0, 0, 23034, 56, 22.82, 72.00, 435, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:17.268, 0, P0, 0, 0, 0, 23034, 55, 21.94, 72.00, 435, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:17.370, 0, P0, 0, 0, 0, 23034, 55, 21.94, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:17.472, 0, P0, 0, 0, 0, 23034, 55, 21.94, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:17.574, 0, P0, 0, 0, 0, 23034, 55, 21.94, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:17.676, 0, P0, 0, 0, 0, 23034, 55, 21.94, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:17.778, 0, P0, 0, 0, 0, 23034, 55, 21.94, 72.00, 270, 6251, 2040, 0x0000000000000001
