timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], enforced.power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.max.sm [MHz], clocks_event_reasons.active
2026/09/20 12:56:15.417, 0, P0, 0, 0, 0, 23034, 59, 23.24, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:15.524, 0, P0, 0, 0, 0, 23034, 58, 23.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:15.626, 0, P0, 0, 0, 0, 23034, 58, 23.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:15.728, 0, P0, 0, 0, 0, 23034, 58, 23.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:15.830, 0, P0, 0, 0, 0, 23034, 58, 23.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:15.932, 0, P0, 0, 0, 0, 23034, 58, 23.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:16.034, 0, P0, 0, 0, 0, 23034, 58, 23.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:16.137, 0, P0, 0, 0, 0, 23034, 58, 23.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:16.239, 0, P0, 0, 0, 0, 23034, 58, 23.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:16.341, 0, P0, 0, 0, 0, 23034, 58, 23.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:16.443, 0, P0, 0, 0, 0, 23034, 58, 22.29, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:16.545, 0, P0, 0, 0, 0, 23034, 58, 22.29, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:16.647, 0, P0, 0, 0, 0, 23034, 58, 22.29, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:16.749, 0, P0, 0, 0, 0, 23034, 58, 22.29, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:16.851, 0, P0, 0, 0, 0, 23034, 58, 22.29, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:16.953, 0, P0, 0, 0, 0, 23034, 58, 22.29, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:17.055, 0, P0, 0, 0, 0, 23034, 58, 22.29, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:17.157, 0, P0, 0, 0, 0, 23034, 58, 22.29, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:17.259, 0, P0, 0, 0, 0, 23034, 58, 22.29, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:17.362, 0, P0, 0, 0, 0, 23034, 58, 22.29, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:17.464, 0, P0, 0, 0, 0, 23034, 58, 22.04, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:17.566, 0, P0, 0, 0, 0, 23034, 58, 22.04, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:17.668, 0, P0, 0, 0, 0, 23034, 58, 22.04, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:17.770, 0, P0, 0, 0, 0, 23034, 58, 22.04, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:17.872, 0, P0, 0, 0, 0, 23034, 58, 22.04, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:17.974, 0, P0, 0, 0, 0, 23034, 58, 22.04, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:18.076, 0, P0, 0, 0, 0, 23034, 58, 22.04, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:18.178, 0, P0, 0, 0, 0, 23034, 58, 22.04, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:18.280, 0, P0, 0, 0, 0, 23034, 58, 22.04, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:18.382, 0, P0, 0, 0, 0, 23034, 58, 21.99, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:18.484, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:18.586, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:18.688, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 210, 6251, 2040, 0x0000000000000001
