timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], enforced.power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.max.sm [MHz], clocks_event_reasons.active
2026/09/20 13:06:15.739, 0, P0, 0, 0, 0, 23034, 56, 22.91, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:15.846, 0, P0, 0, 0, 0, 23034, 56, 22.91, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:15.948, 0, P0, 0, 0, 0, 23034, 56, 22.91, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:16.050, 0, P0, 0, 0, 0, 23034, 56, 22.91, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:16.152, 0, P0, 0, 0, 0, 23034, 56, 22.91, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:16.254, 0, P0, 0, 0, 0, 23034, 56, 22.91, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:16.356, 0, P0, 0, 0, 0, 23034, 56, 22.91, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:16.458, 0, P0, 0, 0, 0, 23034, 56, 22.91, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:16.560, 0, P0, 0, 0, 0, 23034, 56, 22.91, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:16.662, 0, P0, 0, 0, 0, 23034, 56, 22.91, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:16.764, 0, P0, 0, 0, 0, 23034, 56, 21.99, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:16.866, 0, P0, 0, 0, 0, 23034, 56, 21.99, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:16.968, 0, P0, 0, 0, 0, 23034, 56, 21.99, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:17.070, 0, P0, 0, 0, 0, 23034, 56, 21.99, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:17.172, 0, P0, 0, 0, 0, 23034, 56, 21.99, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:17.274, 0, P0, 0, 0, 0, 23034, 56, 21.99, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:17.376, 0, P0, 0, 0, 0, 23034, 56, 21.99, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:17.478, 0, P0, 0, 0, 0, 23034, 56, 21.99, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:17.581, 0, P0, 0, 0, 0, 23034, 56, 21.99, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:17.683, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:17.785, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:17.887, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:17.989, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:18.092, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:18.194, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:18.296, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:18.398, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:18.500, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:18.602, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:18.704, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:18.806, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:18.908, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:19.010, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:19.112, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:19.215, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:19.317, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:19.419, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:19.521, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:19.623, 0, P0, 0, 0, 0, 23034, 55, 21.79, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:19.725, 0, P0, 0, 0, 0, 23034, 55, 21.74, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:19.827, 0, P0, 0, 0, 1, 23034, 55, 21.74, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:19.930, 0, P0, 0, 0, 3, 23034, 55, 21.74, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:20.032, 0, P0, 0, 0, 3, 23034, 55, 21.75, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:20.134, 0, P0, 0, 0, 3, 23034, 55, 21.75, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:20.237, 0, P0, 0, 0, 3, 23034, 55, 21.75, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:20.339, 0, P0, 0, 0, 3, 23034, 55, 21.74, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:20.441, 0, P0, 0, 0, 3, 23034, 55, 21.75, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:20.544, 0, P0, 0, 0, 3, 23034, 55, 21.74, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:20.646, 0, P0, 0, 0, 3, 23034, 55, 21.74, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:20.748, 0, P0, 0, 0, 3, 23034, 55, 21.74, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:20.850, 0, P0, 0, 0, 3, 23034, 55, 21.78, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:20.952, 0, P0, 0, 0, 3, 23034, 55, 21.78, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:21.054, 0, P8, 0, 0, 3, 23034, 55, 21.78, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:21.156, 0, P8, 0, 0, 3, 23034, 55, 21.78, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:21.258, 0, P8, 0, 0, 3, 23034, 55, 21.78, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:21.360, 0, P8, 0, 0, 3, 23034, 55, 21.78, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:21.462, 0, P8, 0, 0, 3, 23034, 55, 21.78, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:21.564, 0, P8, 0, 0, 3, 23034, 55, 21.78, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:21.666, 0, P8, 0, 0, 3, 23034, 55, 21.78, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:21.769, 0, P8, 0, 0, 3, 23034, 55, 21.78, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:21.871, 0, P8, 0, 0, 3, 23034, 55, 21.78, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 13:06:21.973, 0, P8, 0, 0, 3, 23034, 55, 18.09, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 13:06:22.075, 0, P8, 0, 0, 3, 23034, 55, 18.09, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 13:06:22.177, 0, P8, 0, 0, 18, 23034, 55, 18.09, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 13:06:22.279, 0, P0, 0, 0, 338, 23034, 55, 19.54, 72.00, 2010, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:22.380, 0, P0, 2, 0, 364, 23034, 55, 20.11, 72.00, 2025, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:22.481, 0, P0, 2, 0, 398, 23034, 55, 20.77, 72.00, 2025, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:22.583, 0, P0, 2, 0, 1046, 23034, 57, 21.45, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 13:06:22.684, 0, P0, 2, 0, 374, 23034, 56, 21.98, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 13:06:22.786, 0, P0, 57, 18, 376, 23034, 58, 24.35, 72.00, 2010, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:22.888, 0, P0, 57, 18, 410, 23034, 59, 26.55, 72.00, 2010, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:22.989, 0, P0, 99, 22, 462, 23034, 58, 28.53, 72.00, 2025, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:23.091, 0, P0, 99, 22, 462, 23034, 60, 41.79, 72.00, 1320, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:23.194, 0, P0, 99, 56, 462, 23034, 60, 44.42, 72.00, 1350, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:23.296, 0, P0, 99, 56, 462, 23034, 61, 46.74, 72.00, 1350, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:23.399, 0, P0, 99, 51, 462, 23034, 61, 56.06, 72.00, 1350, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:23.501, 0, P0, 99, 51, 462, 23034, 61, 59.35, 72.00, 1350, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:23.603, 0, P0, 99, 51, 462, 23034, 61, 63.41, 72.00, 1260, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:23.706, 0, P0, 99, 48, 462, 23034, 61, 70.82, 72.00, 1275, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:23.809, 0, P0, 99, 48, 462, 23034, 61, 71.36, 72.00, 1275, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:23.911, 0, P0, 99, 48, 462, 23034, 61, 71.84, 72.00, 1275, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:24.017, 0, P0, 99, 48, 462, 23034, 61, 72.28, 72.00, 1275, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:24.119, 0, P0, 99, 49, 462, 23034, 61, 72.68, 72.00, 1260, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:24.222, 0, P0, 99, 49, 462, 23034, 61, 72.46, 72.00, 1305, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:24.324, 0, P0, 99, 49, 462, 23034, 61, 72.44, 72.00, 1320, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:24.426, 0, P0, 99, 49, 462, 23034, 62, 72.48, 72.00, 1335, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:24.528, 0, P0, 99, 50, 462, 23034, 61, 72.61, 72.00, 1305, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:24.630, 0, P0, 99, 50, 462, 23034, 61, 72.34, 72.00, 1260, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:24.733, 0, P0, 99, 48, 462, 23034, 61, 72.17, 72.00, 1290, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:24.835, 0, P0, 99, 48, 462, 23034, 61, 72.20, 72.00, 1260, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:24.938, 0, P0, 99, 48, 462, 23034, 61, 72.23, 72.00, 1260, 6251, 2040, 0x0000000000000004
2026/09/20 13:06:25.041, 0, P0, 99, 48, 462, 23034, 62, 72.16, 72.00, 1260, 6251, 2040, 0x0000000000000004
