timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], enforced.power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.max.sm [MHz], clocks_event_reasons.active
2026/09/20 13:11:08.422, 0, P0, 0, 0, 0, 23034, 73, 26.91, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:08.529, 0, P0, 0, 0, 0, 23034, 73, 26.91, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:08.631, 0, P0, 0, 0, 0, 23034, 73, 26.91, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:08.733, 0, P0, 0, 0, 0, 23034, 73, 26.91, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:08.835, 0, P0, 0, 0, 0, 23034, 73, 26.91, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:08.937, 0, P0, 0, 0, 0, 23034, 73, 26.91, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:09.038, 0, P0, 0, 0, 0, 23034, 73, 26.91, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:09.140, 0, P0, 0, 0, 0, 23034, 73, 26.91, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:09.242, 0, P0, 0, 0, 0, 23034, 73, 26.91, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:09.344, 0, P0, 0, 0, 0, 23034, 73, 26.91, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:09.446, 0, P0, 0, 0, 0, 23034, 72, 25.16, 72.00, 300, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:09.548, 0, P0, 0, 0, 0, 23034, 72, 25.16, 72.00, 300, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:09.650, 0, P0, 0, 0, 0, 23034, 72, 25.16, 72.00, 300, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:09.752, 0, P0, 0, 0, 0, 23034, 72, 25.16, 72.00, 300, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:09.854, 0, P0, 0, 0, 0, 23034, 72, 25.16, 72.00, 300, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:09.956, 0, P0, 0, 0, 0, 23034, 72, 25.16, 72.00, 300, 6251, 2040, 0x0000000000000001
2026/09/20 13:11:10.058, 0, P0, 0, 0, 0, 23034, 72, 25.16, 72.00, 300, 6251, 2040, 0x0000000000000001
